,mean,sd,cv
sk__Bacteria;k__;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma,1.5011538461538458,6.525103366720199,4.346725276315967
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,0.006538461538461537,0.020236644901871315,3.0950162786363755
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia,0.0839230769230769,0.18419413282021405,2.1947971829828146
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus,0.0053846153846153835,0.010190789555489785,1.8925752028109106
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella,0.6645384615384615,1.2407616077338066,1.8671027781589553
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas,0.04315384615384616,0.07681424797644598,1.7800093113558957
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Anaeroglobus,0.023076923076923075,0.0407335230612102,1.7651193325759535
sk__Bacteria;k__;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Streptobacillus,0.24715384615384614,0.4235831208945019,1.7138439376303283
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,0.6452307692307693,1.057582429000758,1.6390762490448911
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,77.44884615384616,126.89414951798324,1.6384253067620422
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,0.08576923076923076,0.12245291675431784,1.427702168419347
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Negativicoccus,0.002076923076923077,0.0029291435022553497,1.410328352258714
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Stomatobaculum,0.2248461538461539,0.2953573562284772,1.3135975473667896
sk__Bacteria;k__;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Asteroleplasma,11.727923076923078,15.086059605708893,1.286336848115273
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Eikenella,4.593384615384615,5.719309342917262,1.2451187570403628
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter,6.098692307692309,7.524758819820193,1.2338315232476882
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum,0.021692307692307695,0.024085244899258625,1.1103127080706667
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis,0.01076923076923077,0.011233543022121359,1.0431147091001225
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0.028307692307692305,0.02941239122200794,1.0390246898711846
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium,0.05592307692307692,0.05775877907990989,1.0328254855920245
